Title,Museum,Names,Collection Photographer,Collection Creator,Topic,See more items in,Extent,Date,Container,Archival Repository,Identifier,Type,Collection Citation,Collection Rights,Genre/Form,Scope and Contents,Collection Restrictions,Record ID,Metadata Usage,GUID,Image_URL,Local Numbers,General,Creator,Place,Provenance,Culture,Numbering Peculiarities Note,Local Note,See Also,Bibliography,Names.PER,Names.LOC,Collection Photographer.ORG,Collection Photographer.LOC,Collection Photographer.PER,Collection Creator.PER,Collection Creator.ORG,Collection Creator.LOC,Topic.LOC,Topic.MISC,See more items in.ORG,Container.PER,Archival Repository.ORG,Identifier.ORG,Collection Citation.PER,Collection Citation.LOC,Collection Rights.ORG,Scope and Contents.PER,See more items in.MISC,See more items in.LOC,Identifier.LOC,Collection Citation.MISC,Collection Citation.ORG,Scope and Contents.ORG,Scope and Contents.LOC,Collection Restrictions.ORG,Local Numbers.ORG,Creator.ORG,Place.LOC,Provenance.ORG,Provenance.LOC,Local Numbers.LOC,Creator.PER,Culture.MISC,Topic.PER,See more items in.PER,Scope and Contents.MISC,Local Numbers.MISC,Provenance.PER,Culture.PER,Creator.LOC,General.ORG,See Also.LOC,Bibliography.PER,Bibliography.LOC,Bibliography.ORG,Topic.ORG
"Congo Français Congo Français - Pahouin, Pahouine Yenvis, Ogooué",National Museum of African Art,,,,"['Portrait photography -- Africa', 'Costume -- Africa', 'Body arts']","['African Postcard Collection', 'African Postcard Collection / Series 12: Congo Français (CF) / Audema']","['1 Postcard (b&w, 14 x 9 cm.)']",['[ca. 1905]'],,"['Eliot Elisofon Photographic Archives, National Museum of African Art']","['EEPA.1985-014, Item EEPA 1985-140116']","['Archival materials', 'Postcards']","['African Postcard collection, EEPA 1985-014, Eliot Elisofon Photographic Archives, National Museum of African Art, Smithsonian Institution.']",['Permission to reproduce images from the Eliot Elisofon Photographic Archives must be obtained in advance.  The collection is subject to all copyright laws.'],['Postcards'],"[""Translated caption reads: ''French Congo. Pahouin male, Pahouine Yenvis female, Ogooué region''. Congo Français. Photograph by J. Audema""]",['Use of original records requires an appointment.  Contact Archives staff for more details.'],['ebl-1536871081657-1536871087803-6'],['CC0'],['https://n2t.net/ark:/65665/xo7272e5298-667b-46c3-92a3-a54ecfe8abd7'],https://ids.si.edu/ids/deliveryService?max_w=800&id=NMAfA-EEPA_1985-140116.jpg,['Audema 0241'],"['Title source: Postcard caption.', 'Image indexed by negative number.']",,"['Africa', 'Congo (Brazzaville)']",,['Fang (West African people)'],,,,,,,,,,,,,"['Africa', 'Africa']",,"['CF', 'Audema']",,"['Eliot Elisofon Photographic Archives', 'National Museum of African Art']",,['Eliot Elisofo'],['E'],['Eliot Elisofon Photographic Archives'],"['Pa', 'Pa', 'J', '. Audema']",['African'],,"['EEPA', 'It', '##em EEPA']",['African Postcard'],"['##graphic Archives', 'National Museum of African Art']",,"['French Congo', 'O', '##gooué', 'Congo']",['Contact Archives'],['Audema'],,"['Africa', 'Congo', 'Brazzaville']",,,,,['West African'],,,,,,,,,,,,,
"Madagascar - ""Une Madame Chrysantheme"" Malgache",National Museum of African Art,,,,"['Portrait photography -- Africa', 'Costume -- Africa', 'Hairstyles -- Africa', 'Textile fabrics', 'Women']","['African Postcard Collection', 'African Postcard Collection / Series 26: Madagascar (MG)']","['1 Postcard (collotype., b&w, 14 x 9 cm.)']",['ca. 1905'],['Volume 1'],"['Eliot Elisofon Photographic Archives, National Museum of African Art']","['EEPA.1985-014, Item EEPA MG 1985-149035']","['Archival materials', 'Postcards', 'Postcards', 'Picture postcards']","['African Postcard collection, EEPA 1985-014, Eliot Elisofon Photographic Archives, National Museum of African Art, Smithsonian Institution.']",['Permission to reproduce images from the Eliot Elisofon Photographic Archives must be obtained in advance.  The collection is subject to all copyright laws.'],['Picture postcards'],"['Original caption reads, ""Madagascar - Madame Chrysantheme of Malagasy.""']",['Use of original records requires an appointment.  Contact Archives staff for more details.'],['ebl-1536871081657-1536871088152-0'],['CC0'],['https://n2t.net/ark:/65665/xo78063f965-5c44-4779-95fe-da134ca27d30'],https://ids.si.edu/ids/deliveryService?max_w=800&id=NMAfA-MG-20-39.jpg,['EEPA MG-20-39'],,,"['Africa', 'Madagascar']",,,,['temp 54'],,,,,,,,,,,"['Africa', 'Africa', 'Africa']",,,,"['Eliot Elisofon Photographic Archives', 'National Museum of African Art']",,['Eliot Elisofo'],['E'],['Eliot Elisofon Photographic Archives'],,"['African', 'African Postcard Collection']",['Madagascar'],"['EEPA', 'It', '##em EEPA MG']",['African Postcard'],"['##graphic Archives', 'National Museum of African Art']",,['Madagascar'],['Contact Archives'],['EEPA'],,"['Africa', 'Madagascar']",,,,,,,,,,,,,,,,,,
Types hovas (environs de TANANARIVE) - F.N,National Museum of African Art,,,,"['Portrait photography', 'Costume -- Africa', 'Men']","['African Postcard Collection', 'African Postcard Collection / Series 26: Madagascar (MG)']","['1 Postcard (collotype., b&w, 14 x 9 cm.)']",['ca. 1905'],['Volume 1'],"['Eliot Elisofon Photographic Archives, National Museum of African Art']","['EEPA.1985-014, Item EEPA MG 1985-149003']","['Archival materials', 'Postcards', 'Postcards', 'Picture postcards']","['African Postcard collection, EEPA 1985-014, Eliot Elisofon Photographic Archives, National Museum of African Art, Smithsonian Institution.']",['Permission to reproduce images from the Eliot Elisofon Photographic Archives must be obtained in advance.  The collection is subject to all copyright laws.'],['Picture postcards'],"['Original caption reads, ""Hova Types (surroundings of Tananarive).""', 'Additional printed text on recto reads: ""Cl. de l\'Ag. Econ. de Madagascar.""']",['Use of original records requires an appointment.  Contact Archives staff for more details.'],['ebl-1536871081657-1536871088146-5'],['CC0'],['https://n2t.net/ark:/65665/xo7ce5e5e69-8f4d-47dc-a52a-0d2796e96bf5'],https://ids.si.edu/ids/deliveryService?max_w=800&id=NMAfA-MG-20-08.jpg,['EEPA MG-20-08'],,"['F. N.', 'France. Agence Économique de Madagascar']","['Africa', 'Madagascar']",,['Merina (Malagasy people)'],,['temp 19'],,,,,,,,,,,['Africa'],,,,"['Eliot Elisofon Photographic Archives', 'National Museum of African Art']",,['Eliot Elisofo'],['E'],['Eliot Elisofon Photographic Archives'],,"['African', 'African Postcard Collection']",['Madagascar'],"['EEPA', 'It', '##em EEPA MG']",['African Postcard'],"['##graphic Archives', 'National Museum of African Art']","['C', ""de l ' Ag. Econ. de Madagascar""]",['Tananarive'],['Contact Archives'],,"['F. N', 'Agence Économique de Madagascar']","['Africa', 'Madagascar']",,,['##A'],,['Malagasy'],,,,,,,['France'],,,,,,
Congo Français Congo Français et Dépendances- Groupe Banziri,National Museum of African Art,,,,"['Portrait photography -- Africa', 'Costume -- Africa']","['African Postcard Collection', 'African Postcard Collection / Series 12: Congo Français (CF) / Audema']","['1 Postcard (b&w, 14 x 9 cm.)']",['[ca. 1905]'],,"['Eliot Elisofon Photographic Archives, National Museum of African Art']","['EEPA.1985-014, Item EEPA 1985-140127-01']","['Archival materials', 'Postcards']","['African Postcard collection, EEPA 1985-014, Eliot Elisofon Photographic Archives, National Museum of African Art, Smithsonian Institution.']",['Permission to reproduce images from the Eliot Elisofon Photographic Archives must be obtained in advance.  The collection is subject to all copyright laws.'],['Postcards'],"[""Translated caption reads: ''French Congo and Territories - Banziri group - Kouango region''. Group of young warriors with shields and spears. Congo Français. Photograph by J. Audema""]",['Use of original records requires an appointment.  Contact Archives staff for more details.'],['ebl-1536871081657-1536871087805-5'],['CC0'],['https://n2t.net/ark:/65665/xo704c8e999-2be9-402d-93a6-f9047695ad53'],https://ids.si.edu/ids/deliveryService?max_w=800&id=NMAfA-EEPA_1985-140127.jpg,,"['Title source: Postcard caption.', 'Image indexed by negative number.']",,"['Africa', 'Congo (Brazzaville)']",,['Banziri (African people)'],,,,,,,,,,,,,"['Africa', 'Africa']",,"['CF', 'Audema']",,"['Eliot Elisofon Photographic Archives', 'National Museum of African Art']",,['Eliot Elisofo'],['E'],['Eliot Elisofon Photographic Archives'],"['J', '. Audema']",['African'],,"['EEPA', 'It', '##em EEPA']",['African Postcard'],"['##graphic Archives', 'National Museum of African Art']",,"['Congo', 'Territories', 'Kouango']",['Contact Archives'],,,"['Africa', 'Congo', 'Brazzaville']",,,,,['African'],,,['Congo Français'],,,,,,,,,,
Madagascar - Femme Zafimaniry,National Museum of African Art,,,,"['Portrait photography -- Africa', 'Costume -- Africa', 'Textile fabrics', 'Women']","['African Postcard Collection', 'African Postcard Collection / Series 26: Madagascar (MG)']","['1 Postcard (collotype., b&w, 9 x 14 cm.)']",['ca. 1910'],['Volume 1'],"['Eliot Elisofon Photographic Archives, National Museum of African Art']","['EEPA.1985-014, Item EEPA MG 1985-149045']","['Archival materials', 'Postcards', 'Postcards', 'Picture postcards']","['African Postcard collection, EEPA 1985-014, Eliot Elisofon Photographic Archives, National Museum of African Art, Smithsonian Institution.']",['Permission to reproduce images from the Eliot Elisofon Photographic Archives must be obtained in advance.  The collection is subject to all copyright laws.'],['Picture postcards'],"['Original caption reads, ""Madagascar - Zafimaniry women.""']",['Use of original records requires an appointment.  Contact Archives staff for more details.'],['ebl-1536871081657-1536871088153-2'],['CC0'],['https://n2t.net/ark:/65665/xo7e75e1742-bcbb-4fa7-aa67-6208f6b2a0a2'],https://ids.si.edu/ids/deliveryService?max_w=800&id=NMAfA-MG-20-45.jpg,['EEPA MG-20-45'],"['Caption source: Postcard caption.', 'Citation source: Archives staff.', 'Title source: Archives staff, not provided by photographer.']",,"['Africa', 'Madagascar']",,['Betsileo (Malagasy people)'],,['temp 60'],,"['Kreamer, Christine Mullen and Sarah Fee, eds. Objects as Envoys: Cloth, Imagery, and Diplomacy in Madagascar. Washington, DC: Smithsonian Institution. 2002. p. 39, figure 10.']",,,,,,,,,"['Africa', 'Africa']",,,,"['Eliot Elisofon Photographic Archives', 'National Museum of African Art']",,['Eliot Elisofo'],['E'],['Eliot Elisofon Photographic Archives'],,"['African', 'African Postcard Collection']",['Madagascar'],"['EEPA', 'It', '##em EEPA MG']",['African Postcard'],"['##graphic Archives', 'National Museum of African Art']",,['Madagascar'],['Contact Archives'],['EEPA'],,"['Africa', 'Madagascar']",,,,,['Malagasy'],,,,,,,,['Archives'],,"['K', 'Christine Mullen', 'Sarah Fee']","['Madagascar', 'Washington,', 'DC']",['Smithsonian Institution'],
Madagascar (Côte Ouest) Groupe de Ramatoa Sakalava,National Museum of African Art,,,,"['Portrait photography -- Africa', 'Costume -- Africa', 'Textile fabrics', 'Hairstyles -- Africa', 'Women', 'Girls']","['African Postcard Collection', 'African Postcard Collection / Series 26: Madagascar (MG)']","['1 Postcard (collotype., b&w, 9 x 14 cm.)']",['ca. 1911'],['Volume 1'],"['Eliot Elisofon Photographic Archives, National Museum of African Art']","['EEPA.1985-014, Item EEPA MG 1985-149043']","['Archival materials', 'Postcards', 'Postcards', 'Picture postcards']","['African Postcard collection, EEPA 1985-014, Eliot Elisofon Photographic Archives, National Museum of African Art, Smithsonian Institution.']",['Permission to reproduce images from the Eliot Elisofon Photographic Archives must be obtained in advance.  The collection is subject to all copyright laws.'],['Picture postcards'],"['Original caption reads, ""Madagascar (West Coast) - Group of Ramatoa Sakalava.""', 'Additional printed text on recto reads: ""Couadou, phot., Toulon-sur-Mer.""', 'Original hand-written text on recto, ""Amrilam 22/3/11, My dear... A Hachment. I did receive your two postcards and thank you very much. I apologise to you for my long silence. ""colonial laziness."" Since I could not read your address I am sending this postcard through Alfred. Write to me at greater length, tell me about your present life. Have you renounced your vagabond life across France probably not since your nature always in search of the new is not yet blasé about all the beauty that France contains. As to me my life has hardly changed but it is posiible that in more or less distant future I might make a very interesting triip. You know...that captain Bibault and Vilot left for Tonkin. Someone said ""to see Naples and die"" but he could have said ""see the... and die"" it is supposed to be a magnificent land but since I have at this time a fairly good position I shall not leave without being assured of a possition elsewhere. There is therefore nothing as yet decided as to my leaving Madagascar. Am I there for long? Could be in fact that I return next year. Good health.""']",['Use of original records requires an appointment.  Contact Archives staff for more details.'],['ebl-1536871081657-1536871088153-0'],['CC0'],['https://n2t.net/ark:/65665/xo704f88030-3408-4e79-9ad3-a91e9235eac8'],https://ids.si.edu/ids/deliveryService?max_w=800&id=NMAfA-MG-20-51.jpg,['EEPA MG-20-51'],,['Couadou (photographer)'],"['Africa', 'Madagascar']",,['Sakalava (Malagasy people)'],,['temp 66'],,,,,,,,,,,"['Africa', 'Africa', 'Africa']",,,,"['Eliot Elisofon Photographic Archives', 'National Museum of African Art']",,['Eliot Elisofo'],['E'],['Eliot Elisofon Photographic Archives'],"['Couad', 'B', 'V']","['African', 'African Postcard Collection']",['Madagascar'],"['EEPA', 'It', '##em EEPA MG']",['African Postcard'],"['##graphic Archives', 'National Museum of African Art']",['Ramatoa Sakalava'],"['Madagascar', 'West Coast', 'To', '##ulon', 'sur - Mer', 'France', 'France', 'To', '##nkin', 'Naples', 'Madagascar']",['Contact Archives'],['EEPA'],,"['Africa', 'Madagascar']",,,,['Couadou'],['Malagasy'],,,,,,,,,,,,,
Congo Français Congo Français et Dépendances - Femmes N'Gao - Rives de l'Ombella - Oubangui,National Museum of African Art,,,,"['Portrait photography -- Africa', 'Costume -- Africa', 'Body arts']","['African Postcard Collection', 'African Postcard Collection / Series 12: Congo Français (CF) / Audema']","['1 Postcard (b&w, 14 x 9 cm.)']",['[ca. 1905]'],,"['Eliot Elisofon Photographic Archives, National Museum of African Art']","['EEPA.1985-014, Item EEPA 1985-140106-01']","['Archival materials', 'Postcards']","['African Postcard collection, EEPA 1985-014, Eliot Elisofon Photographic Archives, National Museum of African Art, Smithsonian Institution.']",['Permission to reproduce images from the Eliot Elisofon Photographic Archives must be obtained in advance.  The collection is subject to all copyright laws.'],['Postcards'],"[""Translated caption reads: ''French Congo and Territories - N'Gao women - Banks of the Ombella - Oubangui''. Group of young women wearing beads belts and cache-sexe, upper lip ornaments and labrets in their lower lip. Congo Français. Photograph by J. Audema""]",['Use of original records requires an appointment.  Contact Archives staff for more details.'],['ebl-1536871081657-1536871087801-1'],['CC0'],['https://n2t.net/ark:/65665/xo73ecacb14-57c5-44f8-9cb3-14fb6b96aa33'],https://ids.si.edu/ids/deliveryService?max_w=800&id=NMAfA-EEPA_1985-140106-01.jpg,,"['Title source: Postcard caption.', 'Image indexed by negative number.']",,"['Africa', 'Congo (Brazzaville)']","['JCB: Jean Charles Blanc; Paris, France; Purchase']",,,,,,,,,,,,,,"['Africa', 'Africa']",,"['CF', 'Audema']",,"['Eliot Elisofon Photographic Archives', 'National Museum of African Art']",,['Eliot Elisofo'],['E'],['Eliot Elisofon Photographic Archives'],"['J', 'Audema']",['African'],,"['EEPA', 'It', '##em EEPA']",['African Postcard'],"['##graphic Archives', 'National Museum of African Art']",,"['French Congo', 'Territories', ""N ' Gao"", 'O', '##ubangui']",['Contact Archives'],,,"['Africa', 'Congo', 'Brazzaville']",,"['Paris', 'France']",,,,,,,,['Jean Charles Blanc'],,,,,,,,
Congo Français Congo Français - Types N'Goundis - Nola (Haute-Sangha),National Museum of African Art,,,,"['Portrait photography -- Africa', 'Body arts', 'Costume -- Africa']","['African Postcard Collection', 'African Postcard Collection / Series 12: Congo Français (CF) / Audema']","['1 Postcard (b&w, 14 x 9 cm.)']",['[ca. 1905]'],,"['Eliot Elisofon Photographic Archives, National Museum of African Art']","['EEPA.1985-014, Item EEPA 1985-140062-01']","['Archival materials', 'Postcards']","['African Postcard collection, EEPA 1985-014, Eliot Elisofon Photographic Archives, National Museum of African Art, Smithsonian Institution.']",['Permission to reproduce images from the Eliot Elisofon Photographic Archives must be obtained in advance.  The collection is subject to all copyright laws.'],['Postcards'],"[""Translated caption reads: ''French Congo. N'Goundis - Nola types - (Upper-Sangha). N'Goundi family. Congo Français. Photograph by J. Audema""]",['Use of original records requires an appointment.  Contact Archives staff for more details.'],['ebl-1536871081657-1536871087790-3'],['CC0'],['https://n2t.net/ark:/65665/xo76420fe89-ae3b-42e2-835b-e5b442ac6e97'],https://ids.si.edu/ids/deliveryService?max_w=800&id=NMAfA-EEPA_1985-140062-01.jpg,['Audema 0331'],"['Title source: Postcard caption.', 'Image indexed by negative number.']",,"['Africa', 'Congo (Brazzaville)']",,['Nguni (African people)'],,,,"['Duplicate postcard published in MacDougall, David, ""The Corporeal Image: Film, Ethnography, and the Senses,"" Princeton: Princeton University Press, 2006, p. 188.']",,,,,,,,,"['Africa', 'Africa']",,"['CF', 'Audema']",,"['Eliot Elisofon Photographic Archives', 'National Museum of African Art']",,['Eliot Elisofo'],['E'],['Eliot Elisofon Photographic Archives'],"['J', '. Audema']",['African'],,"['EEPA', 'It', '##em EEPA']",['African Postcard'],"['##graphic Archives', 'National Museum of African Art']",,"['French Congo', 'Sangha']",['Contact Archives'],['Audema'],,"['Africa', 'Congo', 'Brazzaville']",,,,,['African'],,,,,,,,,,"['MacDougall', 'David']",['Princeton'],['Princeton University Press'],
Congo Français Congo Français et Dépendances - Types N'Gombès - Rive gauche de l'Oubangui,National Museum of African Art,,,,"['Portrait photography -- Africa', 'Costume -- Africa']","['African Postcard Collection', 'African Postcard Collection / Series 12: Congo Français (CF) / Audema']","['1 Postcard (b&w, 14 x 9 cm.)']",['[ca. 1905]'],,"['Eliot Elisofon Photographic Archives, National Museum of African Art']","['EEPA.1985-014, Item EEPA 1985-140105-02']","['Archival materials', 'Postcards']","['African Postcard collection, EEPA 1985-014, Eliot Elisofon Photographic Archives, National Museum of African Art, Smithsonian Institution.']",['Permission to reproduce images from the Eliot Elisofon Photographic Archives must be obtained in advance.  The collection is subject to all copyright laws.'],['Postcards'],"[""Translated caption reads: ''French Congo and Territories - N'Gombès type - Left bank of the Oubangui''. Group portrait, women wearing wrappers held by bead belts, small bells on their hips, men holding spears and shields. Congo Français. Photograph by J. Audema""]",['Use of original records requires an appointment.  Contact Archives staff for more details.'],['ebl-1536871081657-1536871087801-0'],['CC0'],['https://n2t.net/ark:/65665/xo7e1a47e04-9be0-4ecb-91cb-a6015f1acd81'],https://ids.si.edu/ids/deliveryService?max_w=800&id=NMAfA-EEPA_1985-140105-02.jpg,,"['Title source: Postcard caption.', 'Image indexed by negative number.']",,"['Africa', 'Congo (Brazzaville)']","['JCB: Jean Charles Blanc; Paris, France; Purchase']",['Ngombe (African people)'],,,,,,,,,,,,,"['Africa', 'Africa']",,"['CF', 'Audema']",,"['Eliot Elisofon Photographic Archives', 'National Museum of African Art']",,['Eliot Elisofo'],['E'],['Eliot Elisofon Photographic Archives'],"['J', 'Audema']",['African'],,"['EEPA', 'It', '##em EEPA']",['African Postcard'],"['##graphic Archives', 'National Museum of African Art']",,"['French Congo', 'Oubangui']",['Contact Archives'],,,"['Africa', 'Congo', 'Brazzaville']",,"['Paris', 'France']",,,['African'],,,,,['Jean Charles Blanc'],,,,,,,,
Madagascar - Guerrier Sakalava,National Museum of African Art,,,,"['Body arts', 'Costume -- Africa', 'Hairstyles -- Africa', 'Body marking -- Africa', 'Men']","['African Postcard Collection', 'African Postcard Collection / Series 26: Madagascar (MG)']","['1 Postcard (collotype., b&w, 14 x 9 cm.)']",['ca. 1910'],['Volume 1'],"['Eliot Elisofon Photographic Archives, National Museum of African Art']","['EEPA.1985-014, Item EEPA MG 1985-149052']","['Archival materials', 'Postcards', 'Postcards', 'Picture postcards']","['African Postcard collection, EEPA 1985-014, Eliot Elisofon Photographic Archives, National Museum of African Art, Smithsonian Institution.']",['Permission to reproduce images from the Eliot Elisofon Photographic Archives must be obtained in advance.  The collection is subject to all copyright laws.'],['Picture postcards'],"['Original caption reads, ""Madagascar - Sakalava Warrior.""']",['Use of original records requires an appointment.  Contact Archives staff for more details.'],['ebl-1536871081657-1536871088154-3'],['CC0'],['https://n2t.net/ark:/65665/xo738e93e64-2493-4103-b041-c45170340260'],https://ids.si.edu/ids/deliveryService?max_w=800&id=NMAfA-MG-05-02.jpg,['EEPA MG-05-02'],,,"['Africa', 'Madagascar']",,['Sakalava (Malagasy people)'],,['temp 104'],,,,,,,,,,,"['Africa', 'Africa', 'Africa']",,,,"['Eliot Elisofon Photographic Archives', 'National Museum of African Art']",,['Eliot Elisofo'],['E'],['Eliot Elisofon Photographic Archives'],,"['African', 'African Postcard Collection']",['Madagascar'],"['EEPA', 'It', '##em EEPA MG']",['African Postcard'],"['##graphic Archives', 'National Museum of African Art']",,,['Contact Archives'],,,"['Africa', 'Madagascar']",,,['EEPA MG'],,['Malagasy'],,,['Sakalava'],,,,,,,,,,
Diégo-Suarez - Une Coiffure à la mode,National Museum of African Art,,,,"['Body arts', 'Hairstyles -- Africa', 'Costume -- Africa', 'Portrait photography -- Africa', 'Body marking -- Africa', 'Women']","['African Postcard Collection', 'African Postcard Collection / Series 26: Madagascar (MG)']","['1 Postcard (collotype., b&w, 9 x 14 cm.)']",['ca. 1906'],['Volume 1'],"['Eliot Elisofon Photographic Archives, National Museum of African Art']","['EEPA.1985-014, Item EEPA MG 1985-149068']","['Archival materials', 'Postcards', 'Postcards', 'Picture postcards']","['African Postcard collection, EEPA 1985-014, Eliot Elisofon Photographic Archives, National Museum of African Art, Smithsonian Institution.']",['Permission to reproduce images from the Eliot Elisofon Photographic Archives must be obtained in advance.  The collection is subject to all copyright laws.'],['Picture postcards'],"['Original caption reads, ""Diégo-Suarez - A Fashionable Hairstyle."" Postmarked and stamped on recto, ""Chatou, Seineetoise, 27 July 1906.""', 'Additional printed text on recto reads: ""Editeur Grand Bazar Charifou-Jeewa.""', 'Original hand-written address on verso, ""Mademoiselle, Gautheret. 6 Avenue d\'[?] Chalon.""', 'Original hand-written text on recto, ""Gerrgette and Suzanne.""']",['Use of original records requires an appointment.  Contact Archives staff for more details.'],['ebl-1536871081657-1536871088156-5'],['CC0'],['https://n2t.net/ark:/65665/xo7f0e4568f-5816-49b7-bdb2-41207a7ec6e8'],https://ids.si.edu/ids/deliveryService?max_w=800&id=NMAfA-MG-05-18.jpg,['EEPA MG-05-18'],,['Grand Bazar Charifou Jeewa'],"['Africa', 'Madagascar', 'Madagascar, -- Antsiranana province, -- Antsiranana (Diégo-Suarez)']",,,,['temp 120'],"['Madagascar, Antsiranana province, Antsiranana (Diégo-Suarez) (-12.2787, 49.29171)', 'Interactive maps']",,,,,,,,,,"['Africa', 'Africa', 'Africa', 'Africa']",,,,"['Eliot Elisofon Photographic Archives', 'National Museum of African Art']",,['Eliot Elisofo'],['E'],['Eliot Elisofon Photographic Archives'],"['Grand Bazar Charifo', 'G', 'G']","['African', 'African Postcard Collection']",['Madagascar'],"['EEPA', 'It', '##em EEPA MG']",['African Postcard'],"['##graphic Archives', 'National Museum of African Art']",,['Cha'],['Contact Archives'],,,"['Africa', 'Madagascar', 'Madagascar', 'Antsiranana', 'Antsiranana', 'Diégo', 'Suarez']",,,['EEPA MG'],['Jeew'],,,,['Diégo'],,,,,,"['Madagascar', 'Antsiranana', 'Antsiranana', 'Diégo', 'Suarez']",,,,
Congo Français Congo Français et Dépendances - Types N'Gombès - Rive gauche de l'Oubangui,National Museum of African Art,,,,"['Portrait photography -- Africa', 'Costume -- Africa']","['African Postcard Collection', 'African Postcard Collection / Series 12: Congo Français (CF) / Audema']","['1 Postcard (b&w, 14 x 9 cm.)']",['[ca. 1905]'],,"['Eliot Elisofon Photographic Archives, National Museum of African Art']","['EEPA.1985-014, Item EEPA 1985-140105-01']","['Archival materials', 'Postcards']","['African Postcard collection, EEPA 1985-014, Eliot Elisofon Photographic Archives, National Museum of African Art, Smithsonian Institution.']",['Permission to reproduce images from the Eliot Elisofon Photographic Archives must be obtained in advance.  The collection is subject to all copyright laws.'],['Postcards'],"[""Translated caption reads: ''French Congo and Territories - N'Gombès type - Left bank of the Oubangui''. Group portrait, women wearing wrappers held by bead belts, small bells on their hips, men holding spears and shields. Congo Français. Photograph by J. Audema""]",['Use of original records requires an appointment.  Contact Archives staff for more details.'],['ebl-1536871081657-1536871087800-5'],['CC0'],['https://n2t.net/ark:/65665/xo7ef00dda9-796e-46f8-a7b6-7b2d6ca6677f'],https://ids.si.edu/ids/deliveryService?max_w=800&id=NMAfA-EEPA_1985-140105-01.jpg,,"['Title source: Postcard caption.', 'Image indexed by negative number.']",,"['Africa', 'Congo (Brazzaville)']","['JCB: Jean Charles Blanc; Paris, France; Purchase']",['Ngombe (African people)'],,,,,,,,,,,,,"['Africa', 'Africa']",,"['CF', 'Audema']",,"['Eliot Elisofon Photographic Archives', 'National Museum of African Art']",,['Eliot Elisofo'],['E'],['Eliot Elisofon Photographic Archives'],"['J', 'Audema']",['African'],,"['EEPA', 'It', '##em EEPA']",['African Postcard'],"['##graphic Archives', 'National Museum of African Art']",,"['French Congo', 'Oubangui']",['Contact Archives'],,,"['Africa', 'Congo', 'Brazzaville']",,"['Paris', 'France']",,,['African'],,,,,['Jean Charles Blanc'],,,,,,,,
Madagascar Au pays de l'Or; Le Clairon de la Garde indigène; Ambilobé,National Museum of African Art,,,,"['Military -- Africa', 'Portrait photography -- Africa', 'Costume -- Africa', 'Armed Forces', 'Men', 'Buglers']","['African Postcard Collection', 'African Postcard Collection / Series 26: Madagascar (MG)']","['1 Postcard (collotype., b&w, 14 x 9 cm.)']",['ca. 1905'],['Volume 2 MG'],"['Eliot Elisofon Photographic Archives, National Museum of African Art']","['EEPA.1985-014, Item EEPA MG 2012-001-2077']","['Archival materials', 'Postcards', 'Postcards', 'Picture postcards']","['African Postcard collection, EEPA 1985-014, Eliot Elisofon Photographic Archives, National Museum of African Art, Smithsonian Institution.']",['Permission to reproduce images from the Eliot Elisofon Photographic Archives must be obtained in advance.  The collection is subject to all copyright laws.'],['Picture postcards'],"['Original caption reads, ""Madagascar - In the Land of Gold, the Bugler of the Native Guard - Ambilobé.""', 'Additional printed text on recto reads: ""Edition Franguiadakis; Cliché G. Leygoute.""']",['Use of original records requires an appointment.  Contact Archives staff for more details.'],['ebl-1536871081657-1536871088200-3'],['CC0'],['https://n2t.net/ark:/65665/xo7ee314eae-98b8-4275-b6ee-4d301b2181b9'],https://ids.si.edu/ids/deliveryService?max_w=800&id=NMAfA-MG-38-02.jpg,['EEPA MG-38-02'],,"['Leygoute, G.', 'Franguiadakis']","['Africa', 'Madagascar', 'Madagascar, -- Antsiranana province, -- Ambilobe']",,,,,"['Madagascar, Antsiranana province, Ambilobe (-12.2787, 49.29171)', 'Interactive maps']",,,,,,,,,,"['Africa', 'Africa', 'Africa']",,,,"['Eliot Elisofon Photographic Archives', 'National Museum of African Art']",,['Eliot Elisofo'],['E'],['Eliot Elisofon Photographic Archives'],['C'],"['African', 'African Postcard Collection']",['Madagascar'],"['EEPA', 'It', '##em EEPA MG']",['African Postcard'],"['##graphic Archives', 'National Museum of African Art']",,['Madagascar'],['Contact Archives'],,,"['Africa', 'Madagascar', 'Madagascar', 'Antsiranana', 'Ambilobe']",,,['##A'],"['Leygoute', 'G', 'Franguiada']",,,,,,,,,,"['Madagascar', 'Antsiranana', 'Ambilobe']",,,,['Armed Forces']
